state,county,lat,lon,population
GA,Bibb,32.8346,-83.6901,157346
GA,Bleckley,32.4015,-83.3322,12583
GA,Brantley,31.2172,-81.9700,18021
GA,Brooks,30.8411,-83.5423,16301
GA,Bryan,31.9587,-81.3534,44738
GA,Bulloch,32.4153,-81.7624,81099
GA,Burke,33.1032,-82.0023,24596
GA,Butts,33.2949,-83.9729,25434
GA,Calhoun,31.5261,-84.6630,5573
GA,Camden,30.8125,-81.6314,54768
GA,Candler,32.3992,-82.0604,10981
GA,Carroll,33.6240,-85.0438,119148
GA,Catoosa,34.9285,-85.1722,67872
GA,Charlton,30.7866,-82.0242,12518
GA,Chatham,32.0432,-81.1366,295291
GA,Chattahoochee,32.3428,-84.8964,9565
GA,Chattooga,34.4960,-85.3440,24965
GA,Cherokee,34.1705,-84.4947,266620
GA,Clarke,33.9504,-83.3814,128671
GA,Clay,31.6350,-85.0146,2848
GA,Clayton,33.5516,-84.3612,297595
GA,Clinch,31.0213,-82.7444,6749
GA,Cobb,33.9418,-84.5580,766149
GA,Coffee,31.5157,-82.8384,43092
GA,Colquitt,31.1797,-83.7679,45898
GA,Columbia,33.5147,-82.1753,156010
GA,Cook,31.1484,-83.4238,17229
GA,Coweta,33.3780,-84.7335,146158
GA,Crawford,32.7067,-83.9302,12130
GA,Crisp,31.9493,-83.7780,20128
GA,Dade,34.8812,-85.4979,16251
GA,Dawson,34.4002,-84.1022,26798
GA,DeKalb,33.7902,-84.2476,764382
GA,Decatur,30.8898,-84.5700,29367
GA,Dodge,32.2124,-83.1737,19925
GA,Dooly,32.1702,-83.7807,11208
GA,Dougherty,31.5741,-84.1712,85790
GA,Douglas,33.7246,-84.7355,144237
GA,Early,31.3356,-84.9199,10854
GA,Echols,30.7123,-83.0503,3697
GA,Effingham,32.2873,-81.2998,64769
GA,Elbert,34.1284,-82.8805,19637
GA,Emanuel,32.5866,-82.3064,22768
GA,Evans,32.1687,-81.9066,10774
GA,Fannin,34.9029,-84.3129,25319
GA,Fayette,33.4281,-84.5132,119194
GA,Floyd,34.2562,-85.1833,98584
GA,Forsyth,34.1905,-84.1502,251283
GA,Franklin,34.3781,-83.1864,23424
GA,Fulton,33.8325,-84.3962,1066710
GA,Gilmer,34.6751,-84.4861,31353
GA,Glascock,33.2366,-82.6097,2884
GA,Glynn,31.2026,-81.4862,84499
GA,Gordon,34.4982,-84.9078,57544
GA,Grady,30.8818,-84.2124,26236
GA,Greene,33.5352,-83.1794,18915
GA,Gwinnett,33.9541,-84.0532,957062
