domain,org,city,state,type,qid,website,lat,lon,enrollment
hawthorne.k12.ca.us,Hawthorne School District,Hawthorne,CA,School district,Q5685653,https://www.hawthorne.k12.ca.us,33.903742,-118.352053,7093
highislandisd.com,High Island Independent School District,High Island,TX,School district,Q5755756,https://www.highislandisd.com,29.5637,-94.3903,151
wilmette39.org,Wilmette Public Schools District 39,Wilmette,IL,School district,Q5757923,https://www.wilmette39.org/,42.074503,-87.743015,3333
smmusd.org,Santa Monica-Malibu Unified School District,Santa Monica,CA,School district,Q5836140,https://www.smmusd.org/,34.022301,-118.478995,8820
hammond.k12.in.us,School City of Hammond,Hammond,IN,School district,Q5842896,https://www.hammond.k12.in.us/,41.611599,-87.524287,11505
livoniapublicschools.org,Livonia Public Schools,Livonia,MI,School district,Q5883593,https://www.livoniapublicschools.org/,42.39478,-83.375731,13228
hcbe.net,Houston County Schools,Perry,GA,School district,Q5916473,https://www.hcbe.net/,32.45843,-83.728765,30631
hbuhsd.edu,Huntington Beach Union High School District,Huntington Beach,CA,School district,Q5945284,https://www.hbuhsd.edu/,33.744015,-118.027197,14522
hebisd.edu,Hurst-Euless-Bedford Independent School District,Bedford,TX,School district,Q5948556,https://www.hebisd.edu/,32.835346,-97.134415,22947
idaschools.org,Ida Public Schools,Ida,MI,School district,Q5987175,https://www.idaschools.org/,41.906194,-83.571497,1440
icschools.us,Imlay City Community Schools,Imlay City,MI,School district,Q6004217,https://www.icschools.us/,43.013814,-83.085686,1770
ithacaschools.net,Ithaca Public Schools,Ithaca,MI,School district,Q6094526,http://www.ithacaschools.net/,43.30088,-84.59741,1020
jacksonk12.org,Jackson County School District,Scottsboro,AL,School district,Q6117052,https://www.jacksonk12.org/,34.675199,-86.061521,5200
wsdk8.us,Westminster School District,Westminster,CA,School district,Q8768802,https://www.wsdk8.us/,33.75737,-117.994494,8149
hcboe.us,Houston County Schools,Dothan,AL,School district,Q16800752,https://www.hcboe.us//,31.220962,-85.396924,6883
ccps.us,Caroline County Public Schools,Bowling Green,VA,School district,Q16955959,https://www.ccps.us/,38.038222,-77.341924,4337
d91.k12.id.us,Idaho Falls School District,Idaho Falls,ID,School district,Q28448210,https://www.d91.k12.id.us/,43.493202,-112.019154,10250
newton-conover.org,Newton-Conover City Schools,Newton,NC,School district,Q55316605,https://www.newton-conover.org,35.66835,-81.222521,2856
nccscougar.org,Northeastern Clinton Central School District,Champlain,NY,School district,Q55325240,https://www.nccscougar.org/,44.989284,-73.415351,1249
bcschools.net,Bay City Public Schools,Bay City,MI,School district,Q60752302,https://www.bcschools.net/,43.606915,-83.910706,6385
pasd.org,Pinconning Area School District,Pinconning,MI,School district,Q60752303,http://www.pasd.org/,43.852543,-83.969109,1159
everettpublicschools.org,Everett Public Schools,Everett,MA,School district,Q60763810,https://www.everettpublicschools.org/,42.4035,-71.047011,7377
edmonds.wednet.edu,Edmonds School District,Lynnwood,WA,School district,Q5338954,https://www.edmonds.wednet.edu/,47.813526,-122.326106,20459
farmersville.k12.ca.us,Farmersville Unified School District,Farmersville,CA,School district,Q5435837,https://www.farmersville.k12.ca.us,36.307446,-119.202406,2451
